date,time_from,time_to,production
2015-02-07,15:30,15:45,28309
2015-02-07,15:45,16:00,28199
2015-02-07,16:00,16:15,27263
2015-02-07,16:15,16:30,27100
2015-02-07,16:30,16:45,27032
2015-02-07,16:45,17:00,27109
2015-02-07,17:00,17:15,27191
2015-02-07,17:15,17:30,27306
2015-02-07,17:30,17:45,27624
2015-02-07,17:45,18:00,27990
2015-02-07,18:00,18:15,27920
2015-02-07,18:15,18:30,28022
2015-02-07,18:30,18:45,28076
2015-02-07,18:45,19:00,28003
2015-02-07,19:00,19:15,27936
2015-02-07,19:15,19:30,27780
2015-02-07,19:30,19:45,27507
2015-02-07,19:45,20:00,27260
2015-02-07,20:00,20:15,26946
2015-02-07,20:15,20:30,26280
2015-02-07,20:30,20:45,25970
2015-02-07,20:45,21:00,25814
2015-02-07,21:00,21:15,24812
2015-02-07,21:15,21:30,24714
2015-02-07,21:30,21:45,24642
2015-02-07,21:45,22:00,24718
2015-02-07,22:00,22:15,24060
2015-02-07,22:15,22:30,24020
2015-02-07,22:30,22:45,23945
2015-02-07,22:45,23:00,23876
2015-02-07,23:00,23:15,22598
2015-02-07,23:15,23:30,22379
2015-02-07,23:30,23:45,22227
2015-02-07,23:45,00:00,22213
2015-02-08,00:00,00:15,23674
2015-02-08,00:15,00:30,23468
2015-02-08,00:30,00:45,23359
2015-02-08,00:45,01:00,23216
2015-02-08,01:00,01:15,22738
2015-02-08,01:15,01:30,22686
2015-02-08,01:30,01:45,22616
2015-02-08,01:45,02:00,22601
2015-02-08,02:00,02:15,22083
2015-02-08,02:15,02:30,22111
2015-02-08,02:30,02:45,22161
2015-02-08,02:45,03:00,22242
2015-02-08,03:00,03:15,22348
2015-02-08,03:15,03:30,22296
2015-02-08,03:30,03:45,22282
2015-02-08,03:45,04:00,22305
2015-02-08,04:00,04:15,22602
2015-02-08,04:15,04:30,22609
2015-02-08,04:30,04:45,22662
2015-02-08,04:45,05:00,22680
2015-02-08,05:00,05:15,22479
2015-02-08,05:15,05:30,22409
2015-02-08,05:30,05:45,22324
2015-02-08,05:45,06:00,22141
2015-02-08,06:00,06:15,22948
2015-02-08,06:15,06:30,22757
2015-02-08,06:30,06:45,22650
2015-02-08,06:45,07:00,22555
2015-02-08,07:00,07:15,22216
2015-02-08,07:15,07:30,22312
2015-02-08,07:30,07:45,22572
2015-02-08,07:45,08:00,22841
2015-02-08,08:00,08:15,23403
2015-02-08,08:15,08:30,23600
2015-02-08,08:30,08:45,23916
2015-02-08,08:45,09:00,24298
2015-02-08,09:00,09:15,26306
2015-02-08,09:15,09:30,26639
2015-02-08,09:30,09:45,26891
2015-02-08,09:45,10:00,27287
2015-02-08,10:00,10:15,29062
2015-02-08,10:15,10:30,29419
2015-02-08,10:30,10:45,29810
2015-02-08,10:45,11:00,30276
2015-02-08,11:00,11:15,31840
2015-02-08,11:15,11:30,32288
2015-02-08,11:30,11:45,32570
2015-02-08,11:45,12:00,32711
2015-02-08,12:00,12:15,32403
2015-02-08,12:15,12:30,32418
2015-02-08,12:30,12:45,32300
2015-02-08,12:45,13:00,32163
2015-02-08,13:00,13:15,31191
2015-02-08,13:15,13:30,30901
2015-02-08,13:30,13:45,30634
2015-02-08,13:45,14:00,30324
2015-02-08,14:00,14:15,29620
2015-02-08,14:15,14:30,29308
2015-02-08,14:30,14:45,29016
2015-02-08,14:45,15:00,28841
2015-02-08,15:00,15:15,29279
2015-02-08,15:15,15:30,28916
2015-02-08,15:30,15:45,28643
2015-02-08,15:45,16:00,28361
2015-02-08,16:00,16:15,27343
2015-02-08,16:15,16:30,27115
2015-02-08,16:30,16:45,27136
2015-02-08,16:45,17:00,27372
2015-02-08,17:00,17:15,26837
2015-02-08,17:15,17:30,27113
2015-02-08,17:30,17:45,27348
2015-02-08,17:45,18:00,27666
2015-02-08,18:00,18:15,28091
2015-02-08,18:15,18:30,28177
2015-02-08,18:30,18:45,28171
2015-02-08,18:45,19:00,28080
2015-02-08,19:00,19:15,28158
2015-02-08,19:15,19:30,28119
2015-02-08,19:30,19:45,28045
2015-02-08,19:45,20:00,27988
2015-02-08,20:00,20:15,28287
2015-02-08,20:15,20:30,28075
2015-02-08,20:30,20:45,27929
2015-02-08,20:45,21:00,27901
2015-02-08,21:00,21:15,27282
2015-02-08,21:15,21:30,27258
2015-02-08,21:30,21:45,27343
2015-02-08,21:45,22:00,27469
2015-02-08,22:00,22:15,28014
2015-02-08,22:15,22:30,27965
2015-02-08,22:30,22:45,27835
2015-02-08,22:45,23:00,27722
2015-02-08,23:00,23:15,27054
2015-02-08,23:15,23:30,26800
2015-02-08,23:30,23:45,26558
2015-02-08,23:45,00:00,26403
2015-02-09,00:00,00:15,25552
2015-02-09,00:15,00:30,25377
2015-02-09,00:30,00:45,25372
2015-02-09,00:45,01:00,25354
2015-02-09,01:00,01:15,24807
2015-02-09,01:15,01:30,24724
