OBJECTID,NR_STIMMBEZIRK800,WLK_NAME,WLK_ADRESSE,ROLLSTUHLGERECHT,WLK_BEMERKUNG,ABSTIMMBEZIRK,WLK_STADTTEIL,POSTZUSTELLBEZIRK,AD_NUMMER,KOORX,KOORY,STIMMBEZIRK_STADTTEIL,KOMMUNALWAHLBEZIRK,LANDTAGSWAHLKREIS,BUNDESTAGSWAHLKREIS
144,90703,GGS Am Portzenacker,Am Portzenacker 1b,1,,90703,Dünnwald,51069,00171000102,782451.5363,6621483.3602,Dünnwald,38,19,101
145,10220,GGS Pfälzer Str.,Pfälzer Str. 30,1,,10220,Neustadt/Süd,50677,02514003000,772844.732,6608243.8278,Neustadt/Süd,02,13,94
146,71007,Kita Hunoldstr.,Hunoldstr. 7,1,,71007,Wahnheide,51147,04816000700,790278.9924,6595895.482,Wahnheide,10,17,93
147,20513,Alfred-Müller-Armack-Berufskolleg,Brüggener Str. 1,1,,20513,Zollstock,50969,00562000100,772359.1235,6604527.5842,Zollstock,13,13,94
148,40105,GGS Lindenbornstr.,Lindenbornstr. 15,1,,40105,Ehrenfeld,50823,02024001500,769732.324,6611675.3937,Ehrenfeld,22,15,95
149,60101,GGS Amandusstraße,Amandusstr. 22,0,,60101,Merkenich,50769,00094002200,771913.5795,6628671.7827,Merkenich,29,16,95
150,60905,GGS Merianstr.,Merianstr. 7,1,,60905,Chorweiler,50765,03497000700,767861.5868,6626122.3953,Chorweiler,27,16,95
151,20101,Maria-Sybilla-Merian-Schule,Cäsarstr. 50,1,,20101,Bayenthal,50968,00613005000,775545.8174,6605044.2776,Bayenthal,12,13,94
152,10211,GGS Loreleystr.,Loreleystr. 3,0,,10211,Neustadt/Süd,50677,02054000300,773880.6639,6607057.6485,Neustadt/Süd,02,13,94
153,40102,GGS Lindenbornstr.,Lindenbornstr. 15,1,,40102,Ehrenfeld,50823,02024001500,769732.324,6611675.3937,Ehrenfeld,22,15,95
154,30605,GGS Ildefons-Herwegen,Kirchweg 138,1,,30605,Junkersdorf,50858,04973013800,763359.3879,6609366.1766,Junkersdorf,20,14,94
155,50306,SBK Sozial-Betriebe-Köln gGmbH,Boltensternstr. 16,1,,50306,Riehl,50735,00505001600,777039.7668,6615385.6566,Riehl,33,16,95
156,50203,GGS Nibelungenstr.,Nibelungenstr. 50a,0,,50203,Mauenheim,50739,02345005001,772918.2608,6616790.6769,Mauenheim,31,16,95
157,40406,Förderschule Kolkrabenweg,Kolkrabenweg 8-10,1,,40406,Vogelsang,50829,01847000800,765592.9065,6615089.185,Vogelsang,25,15,95
158,90516,GGS Dellbrücker Hauptstr.,Dellbrücker Hauptstr. 16,1,,90516,Dellbrück,51069,00698001600,787665.8138,6616533.9769,Dellbrück,39,19,101
159,71204,AK Autoport Köln GmbH,Am Linder Kreuz 10,1,,71204,Lind,51147,04127001000,789908.1995,6594107.0133,Lind,10,17,93
160,70104,Janusz-Korczak-Schule,Am Altenberger Kreuz 14,0,,70104,Poll,51105,00089001400,778056.82,6606958.395,Poll,07,17,93
161,10410,Montessori-Grundschule,Gilbachstr. 20,0,,10410,Neustadt/Nord,50672,01129002000,772417.3145,6611640.7671,Neustadt/Nord,04,18,93
