LSA_Nr_,Standort,X,Y
25111,Ringstr. - K28 / Schillingsrotter Str.,6.992216,50.889822
25112,Ringstr. - K28 / Siegfriedstr. / Rotterbergstr.,6.996352,50.887064
25117,Sürther Str. - K28 / Michaelshovener Str. / Martinsweg,7.003397,50.87808
25130,Friedrich-Ebert-Str. / Römerstr. / Konrad-Adenauer-Str. - K26,6.986877,50.890649
27025,Brühler Str. / Truppenamt,6.950526,50.896576
27040,Vorgebirgstr. / Am Vorgebirgstor,6.947363,50.914902
27041,Vorgebirgstr. / Herthastr. / Homburger Str.,6.945934,50.912475
27042,Vorgebirgstr. / Gottesweg / Zollstockweg,6.945702,50.910264
27043,Vorgebirgstr. / Bodendorfer Str. / Bad,6.9456,50.908233
27044,Vorgebirgstr. / Roisdorfer Str. / Schwalbacher Str.,6.945532,50.905569
27045,Vorgebirgstr. / Zollstockgürtel / Raderthalgürtel,6.945452,50.904557
29050,Höninger Weg / Am Vorgebirgstor / Pohligstr.,6.941642,50.916913
29052,Höninger Weg / Gottesweg,6.941689,50.910818
29053,Höninger Weg / Bernkasteler Str. / Zollstocksweg,6.941195,50.909518
29054,Höninger Weg / Kalscheurer Weg / Walberberger Str.,6.941402,50.907872
29055,Höninger Weg / Zollstockgürtel,6.942167,50.904944
30000,Hauptstr. - K5 / Neue Sandkaul / Alte Sandkaul,6.834321,50.966343
30001,Hauptstr. - K5 / Leonardsgasse - K6 / Blaugasse,6.828493,50.964442
30002,Brauweilerstr. - L213 / Zaunstr. / Karl-Kaulen-Str.,6.829562,50.946852
30003,Brauweilerstr. - L213 / Kölner Str.,6.830664,50.945622
30004,Brauweilerstr. - L213 / Moltkestr.,6.831289,50.944763
30005,Kölner Str. / Otterweg / Schule - Johanniter,6.834906,50.94658
